Date,Number of lots,Sale total
13-2-2018,157,NA
12-2-2018,147,25517
12-2-2018,71,275191
12-2-2018,204,NA
12-2-2018,74,50844
11-2-2018,70,NA
09-2-2018,35,NA
07-2-2018,186,NA
07-2-2018,18,NA
05-2-2018,123,NA
05-2-2018,85,237050
05-2-2018,33,1400
05-2-2018,49,NA
05-2-2018,221,NA
05-2-2018,49,NA
04-2-2018,98,NA
03-2-2018,139,NA
02-2-2018,56,NA
02-2-2018,54,NA
01-2-2018,293,127545
01-2-2018,122,NA
31-1-2018,64,NA
31-1-2018,293,NA
30-1-2018,29,10280
30-1-2018,63,NA
30-1-2018,27,NA
30-1-2018,192,NA
30-1-2018,23,NA
30-1-2018,137,NA
30-1-2018,17,NA
30-1-2018,76,NA
30-1-2018,37,NA
29-1-2018,238,NA
29-1-2018,68,7810
29-1-2018,57,NA
29-1-2018,145,NA
29-1-2018,17,59840
29-1-2018,123,165950
28-1-2018,86,NA
28-1-2018,27,NA
27-1-2018,97,NA
27-1-2018,175,NA
25-1-2018,202,NA
25-1-2018,31,NA
25-1-2018,90,117830
25-1-2018,130,27760
24-1-2018,183,NA
24-1-2018,39,NA
24-1-2018,224,NA
23-1-2018,31,2030
23-1-2018,172,164904
23-1-2018,13,41650
22-1-2018,75,NA
22-1-2018,95,NA
22-1-2018,237,NA
22-1-2018,56,NA
21-1-2018,62,NA
20-1-2018,101,NA
19-1-2018,26,4195
19-1-2018,34,NA
19-1-2018,644,1968400
19-1-2018,88,NA
18-1-2018,81,NA
17-1-2018,528,NA
17-1-2018,111,NA
17-1-2018,18,NA
17-1-2018,85,NA
17-1-2018,90,NA
16-1-2018,40,NA
16-1-2018,36,7220
16-1-2018,145,NA
16-1-2018,109,NA
15-1-2018,42,15800
15-1-2018,31,NA
15-1-2018,43,NA
15-1-2018,266,NA
14-1-2018,91,NA
14-1-2018,42,NA
13-1-2018,329,53920
13-1-2018,51,NA
12-1-2018,39,NA
12-1-2018,221,360700
12-1-2018,31,NA
10-1-2018,53,NA
10-1-2018,31,NA
08-1-2018,119,NA
08-1-2018,160,NA
07-1-2018,56,NA
07-1-2018,105,NA
06-1-2018,33,11450
05-1-2018,8,1095
05-1-2018,34,NA
05-1-2018,47,NA
02-1-2018,49,NA
02-1-2018,17,NA
02-1-2018,12,NA
01-1-2018,184,NA
31-12-2017,88,NA
30-12-2017,55,NA
29-12-2017,50,3520580
25-12-2017,95,NA
23-12-2017,236,NA
22-12-2017,46,NA
22-12-2017,107,NA
20-12-2017,140,NA
20-12-2017,70,NA
20-12-2017,94,NA
20-12-2017,101,33200
20-12-2017,116,NA
19-12-2017,24,45774
19-12-2017,63,NA
19-12-2017,17,16950
19-12-2017,286,137943
19-12-2017,87,NA
19-12-2017,168,NA
19-12-2017,34,6760
18-12-2017,70,NA
18-12-2017,29,NA
18-12-2017,110,452522
18-12-2017,182,272540
18-12-2017,99,1477063
18-12-2017,13,102
18-12-2017,79,NA
18-12-2017,31,NA
18-12-2017,46,NA
18-12-2017,31,1307716
18-12-2017,50,4224
18-12-2017,241,884450
18-12-2017,77,NA
18-12-2017,259,NA
18-12-2017,64,1056344
18-12-2017,215,NA
18-12-2017,56,3057150
18-12-2017,109,NA
17-12-2017,43,333797
17-12-2017,114,NA
17-12-2017,23,19050
17-12-2017,175,NA
17-12-2017,47,NA
17-12-2017,130,NA
17-12-2017,52,NA
17-12-2017,186,113651
17-12-2017,108,46045
17-12-2017,12,9049695
17-12-2017,91,747480
17-12-2017,267,NA
16-12-2017,30,11300
16-12-2017,130,NA
16-12-2017,189,NA
16-12-2017,111,45340
16-12-2017,543,410135
16-12-2017,284,217520
16-12-2017,30,NA
16-12-2017,152,1752949
15-12-2017,12,NA
15-12-2017,25,NA
15-12-2017,11,9876
14-12-2017,84,NA
14-12-2017,46,47270
14-12-2017,26,34570
14-12-2017,33,159750
14-12-2017,94,67350
14-12-2017,126,NA
14-12-2017,261,489650
14-12-2017,15,4730
14-12-2017,354,242700
14-12-2017,18,NA
14-12-2017,107,NA
13-12-2017,154,922858
13-12-2017,32,NA
13-12-2017,293,NA
13-12-2017,61,NA
13-12-2017,121,NA
13-12-2017,160,NA
13-12-2017,335,359132
13-12-2017,81,NA
13-12-2017,208,NA
13-12-2017,89,19056
13-12-2017,70,NA
13-12-2017,24,NA
13-12-2017,45,NA
13-12-2017,60,NA
13-12-2017,54,NA
13-12-2017,132,NA
13-12-2017,121,NA
12-12-2017,66,15236
12-12-2017,155,NA
12-12-2017,50,NA
12-12-2017,26,NA
12-12-2017,97,NA
12-12-2017,157,468402
12-12-2017,97,NA
12-12-2017,186,713484
12-12-2017,74,NA
12-12-2017,323,183582
12-12-2017,174,1198570
12-12-2017,56,NA
12-12-2017,42,541840
12-12-2017,53,38490
12-12-2017,144,68686
12-12-2017,131,291114
11-12-2017,49,1655047
11-12-2017,38,14300
11-12-2017,208,9230500
11-12-2017,81,NA
11-12-2017,173,19690
11-12-2017,221,NA
11-12-2017,134,NA
11-12-2017,50,108705
11-12-2017,220,176620
11-12-2017,10,1016875
11-12-2017,141,1253000
11-12-2017,77,NA
11-12-2017,89,102200
11-12-2017,96,NA
11-12-2017,195,NA
11-12-2017,74,NA
11-12-2017,55,NA
11-12-2017,NA,NA
11-12-2017,216,NA
11-12-2017,73,NA
11-12-2017,233,38040
11-12-2017,166,97040
11-12-2017,201,NA
10-12-2017,53,NA
10-12-2017,106,NA
10-12-2017,270,692520
10-12-2017,96,NA
10-12-2017,42,106210
10-12-2017,71,184053
10-12-2017,14,47200
10-12-2017,204,338100
10-12-2017,56,14488
10-12-2017,17,NA
10-12-2017,31,NA
10-12-2017,87,NA
09-12-2017,82,NA
09-12-2017,366,NA
09-12-2017,14,NA
09-12-2017,44,NA
09-12-2017,43,151918
09-12-2017,50,NA
09-12-2017,157,NA
09-12-2017,197,977851
08-12-2017,63,8023750
08-12-2017,84,39166
08-12-2017,151,NA
08-12-2017,32,NA
08-12-2017,751,174260
08-12-2017,409,NA
08-12-2017,70,27980
08-12-2017,46,15315
08-12-2017,23,NA
08-12-2017,193,NA
08-12-2017,147,NA
08-12-2017,82,NA
08-12-2017,38,720125
08-12-2017,76,21762
07-12-2017,49,NA
07-12-2017,387,NA
07-12-2017,142,NA
07-12-2017,21,3330
07-12-2017,82,NA
07-12-2017,37,86824
07-12-2017,206,2259037
07-12-2017,79,53870
07-12-2017,230,NA
07-12-2017,31,NA
07-12-2017,96,19240
07-12-2017,53,NA
07-12-2017,87,NA
06-12-2017,100,NA
06-12-2017,32,NA
06-12-2017,171,NA
06-12-2017,118,NA
06-12-2017,114,36484
06-12-2017,60,NA
06-12-2017,202,NA
06-12-2017,24,NA
06-12-2017,95,4984250
06-12-2017,188,NA
06-12-2017,133,NA
06-12-2017,101,NA
06-12-2017,50,69498
06-12-2017,246,NA
06-12-2017,79,83871
06-12-2017,32,NA
06-12-2017,37,NA
06-12-2017,67,39406
06-12-2017,194,NA
06-12-2017,177,2109325
06-12-2017,198,68790
05-12-2017,171,NA
05-12-2017,177,NA
05-12-2017,82,NA
05-12-2017,96,NA
05-12-2017,159,222443
05-12-2017,108,813750
05-12-2017,121,NA
05-12-2017,65,670027
05-12-2017,153,353839
05-12-2017,286,NA
05-12-2017,34,15342700
05-12-2017,67,289500
05-12-2017,36,NA
05-12-2017,12,49720
05-12-2017,130,4889750
05-12-2017,87,NA
05-12-2017,34,NA
05-12-2017,159,175500
05-12-2017,54,NA
05-12-2017,635,2090930
04-12-2017,32,NA
04-12-2017,239,NA
04-12-2017,130,1681765
04-12-2017,143,NA
04-12-2017,184,NA
04-12-2017,21,14954
04-12-2017,557,NA
04-12-2017,24,16557250
04-12-2017,142,NA
04-12-2017,219,628915
04-12-2017,96,81706
04-12-2017,151,723718
04-12-2017,128,NA
04-12-2017,54,NA
04-12-2017,20,NA
04-12-2017,150,NA
04-12-2017,79,NA
04-12-2017,111,NA
04-12-2017,183,NA
04-12-2017,53,NA
04-12-2017,107,NA
03-12-2017,107,NA
03-12-2017,115,101710
03-12-2017,48,NA
03-12-2017,103,171950
03-12-2017,78,230970
03-12-2017,166,1248748
03-12-2017,99,NA
03-12-2017,27,NA
03-12-2017,86,34940
03-12-2017,68,1494500
03-12-2017,145,13710
03-12-2017,208,NA
03-12-2017,50,NA
03-12-2017,156,787125
03-12-2017,154,875602
03-12-2017,71,NA
02-12-2017,138,1069725
02-12-2017,166,NA
02-12-2017,43,NA
02-12-2017,117,619005
02-12-2017,244,NA
02-12-2017,151,321670
02-12-2017,25,NA
02-12-2017,212,116180
01-12-2017,29,NA
01-12-2017,79,32755
01-12-2017,344,NA
01-12-2017,95,5044500
01-12-2017,72,NA
01-12-2017,27,NA
01-12-2017,174,NA
01-12-2017,27,NA
01-12-2017,7,NA
01-12-2017,51,NA
01-12-2017,61,NA
01-12-2017,43,3083760
01-12-2017,216,1662286
01-12-2017,361,151870
01-12-2017,48,NA
01-12-2017,23,NA
01-12-2017,44,NA
30-11-2017,18,NA
30-11-2017,35,195245
30-11-2017,239,5298820
30-11-2017,59,429226
30-11-2017,466,3833500
30-11-2017,420,184923
30-11-2017,129,NA
30-11-2017,156,359662
30-11-2017,520,245725
29-11-2017,123,190081
29-11-2017,13,NA
29-11-2017,42,NA
29-11-2017,71,NA
29-11-2017,160,NA
29-11-2017,172,NA
29-11-2017,76,NA
29-11-2017,40,NA
29-11-2017,95,NA
29-11-2017,63,62231
29-11-2017,71,NA
29-11-2017,92,NA
28-11-2017,81,NA
28-11-2017,153,186415
28-11-2017,50,NA
28-11-2017,15,NA
28-11-2017,75,NA
28-11-2017,20,307887
28-11-2017,108,171930
28-11-2017,86,177840
28-11-2017,191,NA
28-11-2017,181,979217
28-11-2017,10,NA
28-11-2017,134,NA
28-11-2017,161,NA
28-11-2017,52,NA
28-11-2017,110,8112500
28-11-2017,35,746450
28-11-2017,96,NA
28-11-2017,20,NA
28-11-2017,40,NA
28-11-2017,85,NA
28-11-2017,104,502840
28-11-2017,51,NA
27-11-2017,231,NA
27-11-2017,41,104201
27-11-2017,42,800150
27-11-2017,173,468860
27-11-2017,130,230618
27-11-2017,390,274826
27-11-2017,90,NA
27-11-2017,45,900510
27-11-2017,121,NA
27-11-2017,53,NA
27-11-2017,39,NA
27-11-2017,104,NA
27-11-2017,25,165685
27-11-2017,88,NA
27-11-2017,117,NA
27-11-2017,247,NA
27-11-2017,90,NA
26-11-2017,107,55210
26-11-2017,87,NA
26-11-2017,38,6270
26-11-2017,9,1923550
26-11-2017,97,NA
26-11-2017,146,175140
26-11-2017,68,NA
26-11-2017,51,136410
26-11-2017,NA,NA
26-11-2017,12,2514400
26-11-2017,89,NA
26-11-2017,259,463170
25-11-2017,97,185800
25-11-2017,33,3865
25-11-2017,132,439521
25-11-2017,60,NA
25-11-2017,48,NA
25-11-2017,38,NA
24-11-2017,112,348877
24-11-2017,280,28530
24-11-2017,191,NA
24-11-2017,198,NA
24-11-2017,271,421806
24-11-2017,513,1380950
23-11-2017,242,16811
23-11-2017,21,29490
23-11-2017,28,16439
23-11-2017,34,618438
23-11-2017,14,7400
22-11-2017,40,NA
22-11-2017,49,NA
22-11-2017,108,NA
22-11-2017,39,NA
22-11-2017,76,NA
22-11-2017,188,115820
22-11-2017,95,28360
22-11-2017,171,3038228
22-11-2017,9,NA
21-11-2017,115,NA
21-11-2017,212,NA
21-11-2017,8,2030
21-11-2017,56,122350
21-11-2017,52,NA
21-11-2017,219,NA
21-11-2017,211,1916070
21-11-2017,1,NA
21-11-2017,65,NA
21-11-2017,254,NA
21-11-2017,121,190470
21-11-2017,53,NA
21-11-2017,156,860470
21-11-2017,177,1568120
21-11-2017,44,44960
21-11-2017,77,NA
21-11-2017,202,NA
20-11-2017,64,NA
20-11-2017,156,NA
20-11-2017,80,6170203
20-11-2017,119,NA
20-11-2017,195,398797
20-11-2017,182,NA
20-11-2017,123,NA
20-11-2017,220,NA
20-11-2017,187,NA
20-11-2017,64,NA
20-11-2017,221,NA
20-11-2017,155,NA
20-11-2017,62,5752900
20-11-2017,35,NA
20-11-2017,119,235500
20-11-2017,61,19350
20-11-2017,38,NA
20-11-2017,217,NA
20-11-2017,47,NA
19-11-2017,165,NA
19-11-2017,72,NA
19-11-2017,71,28633
19-11-2017,145,375330
19-11-2017,5,9750
19-11-2017,114,12300
19-11-2017,96,NA
19-11-2017,44,NA
19-11-2017,220,28937
18-11-2017,17,NA
18-11-2017,16,725
18-11-2017,59,NA
18-11-2017,118,NA
18-11-2017,85,NA
18-11-2017,140,96580
18-11-2017,28,83976
18-11-2017,136,NA
18-11-2017,166,379236
17-11-2017,103,49030
17-11-2017,146,NA
17-11-2017,56,NA
17-11-2017,288,NA
17-11-2017,254,193220
17-11-2017,97,NA
16-11-2017,15,9877
16-11-2017,432,NA
16-11-2017,41,3660
16-11-2017,358,NA
16-11-2017,266,NA
16-11-2017,33,570500
16-11-2017,61,NA
15-11-2017,63,NA
15-11-2017,188,NA
15-11-2017,141,NA
15-11-2017,NA,NA
15-11-2017,160,NA
15-11-2017,44,265460
15-11-2017,374,NA
15-11-2017,71,NA
15-11-2017,72,NA
15-11-2017,199,NA
15-11-2017,40,NA
15-11-2017,190,561854
14-11-2017,83,NA
14-11-2017,20,NA
14-11-2017,37,53892
14-11-2017,161,106705
14-11-2017,85,NA
14-11-2017,57,NA
14-11-2017,85,NA
14-11-2017,96,NA
14-11-2017,84,NA
14-11-2017,71,NA
14-11-2017,40,NA
14-11-2017,64,NA
14-11-2017,73,NA
13-11-2017,265,59440
13-11-2017,86,NA
13-11-2017,39,49167
13-11-2017,77,NA
13-11-2017,92,187234
13-11-2017,130,NA
13-11-2017,69,NA
13-11-2017,230,NA
13-11-2017,35,NA
13-11-2017,77,NA
13-11-2017,17,NA
13-11-2017,62,638000
13-11-2017,31,NA
13-11-2017,167,NA
13-11-2017,59,NA
13-11-2017,117,232540
13-11-2017,53,NA
13-11-2017,63,8790
13-11-2017,28,995050
13-11-2017,75,105750
12-11-2017,35,212900
12-11-2017,368,NA
12-11-2017,117,NA
12-11-2017,68,NA
12-11-2017,83,NA
12-11-2017,77,NA
12-11-2017,179,NA
12-11-2017,38,NA
12-11-2017,205,309160
11-11-2017,66,NA
11-11-2017,32,418730
11-11-2017,54,NA
11-11-2017,119,NA
11-11-2017,70,51550
11-11-2017,50,NA
11-11-2017,275,337140
11-11-2017,30,39950
10-11-2017,356,NA
10-11-2017,120,NA
10-11-2017,68,NA
10-11-2017,45,NA
10-11-2017,27,NA
10-11-2017,44,NA
10-11-2017,7,1840
10-11-2017,45,NA
10-11-2017,30,NA
10-11-2017,76,NA
09-11-2017,57,292700
09-11-2017,126,62439
09-11-2017,303,534060
09-11-2017,69,1093625
09-11-2017,98,1359500
09-11-2017,90,84810
09-11-2017,97,1313000
09-11-2017,93,234955
08-11-2017,61,58422
08-11-2017,169,191230
08-11-2017,32,NA
08-11-2017,172,NA
08-11-2017,16,NA
08-11-2017,47,NA
08-11-2017,99,NA
08-11-2017,22,NA
08-11-2017,51,3776250
08-11-2017,403,NA
08-11-2017,354,NA
08-11-2017,115,NA
08-11-2017,456,NA
07-11-2017,44,6280
07-11-2017,104,NA
07-11-2017,44,117714
07-11-2017,8,NA
07-11-2017,93,NA
07-11-2017,314,14622
07-11-2017,44,436540
07-11-2017,31,31377
06-11-2017,213,NA
06-11-2017,136,251043
06-11-2017,49,NA
06-11-2017,59,NA
06-11-2017,52,NA
06-11-2017,128,NA
06-11-2017,70,NA
06-11-2017,33,NA
05-11-2017,45,NA
05-11-2017,98,NA
05-11-2017,61,NA
04-11-2017,120,NA
04-11-2017,99,NA
04-11-2017,121,NA
03-11-2017,17,NA
03-11-2017,55,NA
03-11-2017,42,NA
03-11-2017,35,NA
03-11-2017,60,7384
03-11-2017,42,NA
01-11-2017,53,NA
01-11-2017,80,NA
01-11-2017,40,NA
01-11-2017,87,NA
01-11-2017,500,NA
01-11-2017,145,648100
01-11-2017,111,254600
31-10-2017,113,NA
31-10-2017,420,NA
31-10-2017,17,NA
31-10-2017,236,NA
31-10-2017,19,NA
30-10-2017,59,31421
30-10-2017,128,69470
30-10-2017,26,10014
30-10-2017,94,1596280
30-10-2017,164,NA
30-10-2017,30,NA
30-10-2017,29,NA
30-10-2017,221,175690
29-10-2017,73,1878825
29-10-2017,49,NA
29-10-2017,43,NA
29-10-2017,82,NA
29-10-2017,86,1002300
28-10-2017,30,38550
28-10-2017,95,18970
27-10-2017,151,NA
27-10-2017,196,NA
27-10-2017,133,32342
27-10-2017,45,4600
27-10-2017,124,NA
26-10-2017,48,11225
26-10-2017,134,199927
26-10-2017,209,331350
26-10-2017,76,103095
26-10-2017,62,108371
25-10-2017,62,NA
25-10-2017,62,NA
25-10-2017,318,371456
25-10-2017,56,NA
25-10-2017,82,NA
25-10-2017,179,4660
25-10-2017,91,45070
24-10-2017,161,NA
24-10-2017,210,NA
24-10-2017,48,NA
24-10-2017,217,NA
24-10-2017,148,NA
24-10-2017,131,NA
24-10-2017,56,NA
24-10-2017,51,NA
24-10-2017,121,49900
24-10-2017,182,455831
24-10-2017,54,NA
24-10-2017,160,3616657
24-10-2017,197,NA
23-10-2017,29,NA
23-10-2017,200,NA
23-10-2017,48,3980650
23-10-2017,73,NA
23-10-2017,50,433885
23-10-2017,71,NA
22-10-2017,287,356395
22-10-2017,47,1277647
22-10-2017,89,NA
22-10-2017,130,184430
22-10-2017,20,NA
22-10-2017,61,730573
22-10-2017,59,NA
22-10-2017,236,212749
22-10-2017,111,337493
22-10-2017,40,NA
22-10-2017,57,16205
21-10-2017,43,NA
21-10-2017,82,6901250
21-10-2017,80,24500
20-10-2017,55,NA
20-10-2017,618,3617651
20-10-2017,472,NA
20-10-2017,8,NA
20-10-2017,29,NA
19-10-2017,75,10365250
19-10-2017,77,23970
19-10-2017,66,20225
19-10-2017,158,20509
18-10-2017,129,52505
18-10-2017,31,NA
18-10-2017,93,203418
18-10-2017,294,NA
17-10-2017,59,NA
17-10-2017,105,NA
17-10-2017,200,NA
16-10-2017,205,NA
16-10-2017,54,104200
16-10-2017,91,NA
16-10-2017,157,NA
16-10-2017,30,NA
15-10-2017,107,NA
15-10-2017,31,NA
15-10-2017,86,NA
15-10-2017,106,2450
15-10-2017,251,NA
14-10-2017,NA,NA
14-10-2017,42,NA
14-10-2017,22,23250
14-10-2017,81,NA
14-10-2017,110,NA
13-10-2017,135,NA
13-10-2017,25,NA
13-10-2017,136,378953
12-10-2017,78,NA
11-10-2017,105,29489
11-10-2017,45,NA
11-10-2017,117,NA
11-10-2017,89,NA
11-10-2017,278,142576
11-10-2017,146,NA
10-10-2017,155,34050
10-10-2017,41,57240
09-10-2017,48,NA
09-10-2017,190,NA
09-10-2017,202,NA
09-10-2017,162,NA
09-10-2017,51,NA
09-10-2017,23,NA
09-10-2017,30,9300
09-10-2017,35,NA
09-10-2017,181,6037040
09-10-2017,104,NA
09-10-2017,259,42700
09-10-2017,220,254120
08-10-2017,261,370092
08-10-2017,70,NA
07-10-2017,49,229380
07-10-2017,26,36450
06-10-2017,76,NA
06-10-2017,67,NA
05-10-2017,46,NA
05-10-2017,20,NA
05-10-2017,97,17850
05-10-2017,276,145799
05-10-2017,30,NA
04-10-2017,25,NA
04-10-2017,44,NA
04-10-2017,117,NA
04-10-2017,155,NA
04-10-2017,119,NA
04-10-2017,145,NA
04-10-2017,57,NA
04-10-2017,44,18990
03-10-2017,131,290925
03-10-2017,37,NA
03-10-2017,468,141470
03-10-2017,43,NA
02-10-2017,14,15550
02-10-2017,95,NA
02-10-2017,27,NA
02-10-2017,58,NA
02-10-2017,36,25400
02-10-2017,100,NA
02-10-2017,56,NA
01-10-2017,92,NA
01-10-2017,73,NA
01-10-2017,61,NA
01-10-2017,106,NA
01-10-2017,147,709560
01-10-2017,115,NA
30-9-2017,56,NA
30-9-2017,104,NA
30-9-2017,205,NA
30-9-2017,33,188305
30-9-2017,194,NA
30-9-2017,304,41160
29-9-2017,41,NA
29-9-2017,70,NA
29-9-2017,31,NA
28-9-2017,234,153890
28-9-2017,84,NA
27-9-2017,87,NA
27-9-2017,161,NA
27-9-2017,225,NA
27-9-2017,61,NA
27-9-2017,170,73217
27-9-2017,91,NA
27-9-2017,167,NA
27-9-2017,133,NA
27-9-2017,274,NA
26-9-2017,183,NA
26-9-2017,176,415521
26-9-2017,329,NA
26-9-2017,70,NA
26-9-2017,99,NA
26-9-2017,81,NA
26-9-2017,143,NA
26-9-2017,65,NA
26-9-2017,197,NA
26-9-2017,67,NA
26-9-2017,63,103875
26-9-2017,95,NA
26-9-2017,11,NA
26-9-2017,373,NA
