Date,Number of lots,Sale total
25-11-2019,130,NA
25-11-2019,NA,NA
25-11-2019,211,NA
25-11-2019,182,NA
24-11-2019,NA,NA
24-11-2019,106,NA
24-11-2019,NA,NA
24-11-2019,63,NA
24-11-2019,NA,NA
24-11-2019,NA,NA
24-11-2019,66,NA
23-11-2019,NA,NA
23-11-2019,NA,NA
22-11-2019,NA,NA
22-11-2019,390,1394150
20-11-2019,NA,NA
20-11-2019,NA,NA
20-11-2019,NA,NA
20-11-2019,NA,NA
20-11-2019,63,NA
19-11-2019,71,NA
19-11-2019,NA,NA
19-11-2019,NA,NA
19-11-2019,NA,NA
19-11-2019,106,NA
18-11-2019,NA,NA
18-11-2019,23,NA
18-11-2019,99,NA
18-11-2019,NA,NA
18-11-2019,NA,NA
18-11-2019,137,NA
18-11-2019,165,NA
18-11-2019,116,26050
17-11-2019,NA,NA
17-11-2019,453,NA
17-11-2019,116,NA
16-11-2019,30,8400
15-11-2019,NA,NA
13-11-2019,NA,NA
13-11-2019,50,NA
13-11-2019,NA,NA
13-11-2019,50,189250
13-11-2019,NA,NA
13-11-2019,NA,NA
12-11-2019,88,NA
12-11-2019,49,NA
12-11-2019,44,NA
11-11-2019,150,46200
11-11-2019,176,NA
11-11-2019,190,NA
11-11-2019,82,NA
11-11-2019,82,NA
11-11-2019,175,NA
10-11-2019,51,NA
10-11-2019,101,NA
08-11-2019,127,315450
07-11-2019,102,1496750
07-11-2019,212,NA
07-11-2019,276,NA
06-11-2019,43,NA
05-11-2019,NA,NA
05-11-2019,1363,NA
04-11-2019,179,NA
04-11-2019,22,NA
04-11-2019,115,2944375
04-11-2019,NA,NA
03-11-2019,96,NA
02-11-2019,60,38150
02-11-2019,283,NA
31-10-2019,191,NA
30-10-2019,27,NA
28-10-2019,72,NA
28-10-2019,27,NA
28-10-2019,260,64900
28-10-2019,180,NA
27-10-2019,47,NA
27-10-2019,100,NA
25-10-2019,39,18612
25-10-2019,241,NA
23-10-2019,41,NA
23-10-2019,67,NA
22-10-2019,81,NA
22-10-2019,74,NA
22-10-2019,189,NA
21-10-2019,158,NA
21-10-2019,153,NA
21-10-2019,81,NA
21-10-2019,151,54750
21-10-2019,41,NA
21-10-2019,170,NA
20-10-2019,81,NA
17-10-2019,54,NA
17-10-2019,NA,NA
17-10-2019,142,12237625
17-10-2019,146,25985343
16-10-2019,55,NA
15-10-2019,65,NA
14-10-2019,173,NA
14-10-2019,104,NA
14-10-2019,210,NA
13-10-2019,66,NA
13-10-2019,56,NA
09-10-2019,77,NA
09-10-2019,27,NA
07-10-2019,196,NA
06-10-2019,72,NA
04-10-2019,157,NA
04-10-2019,596,1698650
03-10-2019,88,NA
03-10-2019,41,NA
03-10-2019,28,NA
02-10-2019,51,NA
02-10-2019,78,NA
02-10-2019,39,NA
02-10-2019,137,NA
01-10-2019,152,NA
01-10-2019,202,NA
30-9-2019,48,NA
30-9-2019,114,NA
30-9-2019,661,NA
28-9-2019,30,18800
27-9-2019,41,40010
26-9-2019,219,NA
26-9-2019,89,NA
26-9-2019,34,NA
25-9-2019,41,NA
25-9-2019,301,NA
25-9-2019,102,NA
24-9-2019,84,NA
24-9-2019,112,NA
24-9-2019,64,NA
24-9-2019,179,NA
23-9-2019,146,NA
23-9-2019,187,NA
22-9-2019,71,NA
21-9-2019,74,NA
20-9-2019,29,NA
20-9-2019,6,5350
20-9-2019,48,NA
19-9-2019,180,NA
18-9-2019,222,NA
18-9-2019,38,NA
18-9-2019,163,NA
18-9-2019,306,NA
17-9-2019,238,NA
17-9-2019,193,NA
17-9-2019,145,NA
17-9-2019,72,NA
16-9-2019,169,160640
16-9-2019,137,NA
16-9-2019,208,NA
16-9-2019,41,NA
16-9-2019,135,NA
16-9-2019,74,NA
16-9-2019,183,NA
16-9-2019,206,NA
15-9-2019,102,NA
15-9-2019,165,NA
15-9-2019,908,NA
14-9-2019,38,NA
11-9-2019,60,NA
11-9-2019,49,NA
11-9-2019,122,NA
10-9-2019,29,NA
10-9-2019,136,NA
10-9-2019,84,NA
10-9-2019,122,NA
10-9-2019,89,NA
09-9-2019,188,NA
09-9-2019,257,NA
09-9-2019,62,NA
09-9-2019,112,NA
09-9-2019,170,NA
08-9-2019,114,NA
08-9-2019,201,NA
07-9-2019,36,NA
06-9-2019,224,101600
04-9-2019,34,NA
03-9-2019,76,NA
02-9-2019,191,NA
01-9-2019,96,NA
31-8-2019,128,NA
31-8-2019,42,NA
30-8-2019,11,NA
30-8-2019,68,50120
26-8-2019,154,NA
25-8-2019,73,NA
22-8-2019,134,111620
21-8-2019,57,NA
20-8-2019,49,NA
19-8-2019,149,NA
18-8-2019,78,NA
16-8-2019,31,NA
12-8-2019,179,NA
11-8-2019,93,NA
05-8-2019,138,NA
04-8-2019,80,NA
04-8-2019,83,NA
30-7-2019,25,NA
28-7-2019,184,NA
26-7-2019,106,NA
24-7-2019,48,NA
24-7-2019,97,NA
18-7-2019,195,NA
18-7-2019,68,NA
17-7-2019,45,NA
15-7-2019,24,NA
10-7-2019,103,NA
10-7-2019,50,NA
10-7-2019,83,NA
09-7-2019,103,NA
09-7-2019,190,NA
08-7-2019,67,NA
08-7-2019,128,NA
08-7-2019,233,NA
05-7-2019,39,NA
04-7-2019,31,3470
04-7-2019,82,NA
03-7-2019,165,NA
03-7-2019,30,NA
03-7-2019,80,NA
03-7-2019,83,NA
02-7-2019,51,NA
02-7-2019,229,NA
02-7-2019,34,NA
02-7-2019,43,NA
01-7-2019,137,NA
01-7-2019,148,NA
30-6-2019,63,NA
29-6-2019,30,8300
28-6-2019,200,291800
28-6-2019,18,NA
26-6-2019,73,NA
26-6-2019,194,NA
26-6-2019,70,NA
25-6-2019,122,NA
25-6-2019,119,NA
25-6-2019,41,NA
25-6-2019,276,1875792
25-6-2019,65,NA
24-6-2019,32,NA
24-6-2019,175,NA
24-6-2019,90,NA
24-6-2019,33,2831125
23-6-2019,118,138593
23-6-2019,269,NA
23-6-2019,58,NA
21-6-2019,32,NA
19-6-2019,54,NA
19-6-2019,236,NA
18-6-2019,90,NA
18-6-2019,28,NA
18-6-2019,85,NA
18-6-2019,50,NA
18-6-2019,25,NA
17-6-2019,138,NA
17-6-2019,189,NA
17-6-2019,99,NA
17-6-2019,29,NA
15-6-2019,49,NA
14-6-2019,13,NA
12-6-2019,113,NA
12-6-2019,29,NA
12-6-2019,173,NA
11-6-2019,92,NA
11-6-2019,76,NA
11-6-2019,100,695435
10-6-2019,58,NA
10-6-2019,187,NA
09-6-2019,63,NA
07-6-2019,26,NA
07-6-2019,235,1283750
07-6-2019,137,2423800
06-6-2019,92,16256021
06-6-2019,69,900625
06-6-2019,6,NA
05-6-2019,151,6825375
04-6-2019,173,7779000
04-6-2019,37,25750850
04-6-2019,347,NA
